level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	15	1000	1477	-1	
3	1	1	1	0	0	37	15	1000	1477	-1	
4	1	1	1	1	0	37	15	1000	35	-1	
5	1	1	1	1	1	37	30	66	10	7.393780	Kaas
5	1	1	1	1	2	120	15	41	35	0.000000	eked
5	1	1	1	1	3	482	30	110	10	0.000000	sanboseata
5	1	1	1	1	4	913	30	27	10	22.712259	[位
5	1	1	1	1	5	945	30	24	10	39.218174	公信
5	1	1	1	1	6	968	15	9	34	48.818439	号
5	1	1	1	1	7	977	15	5	34	68.824928	:
5	1	1	1	1	8	989	31	7	8	47.162514	二
5	1	1	1	1	9	998	30	39	10	56.747059	地
5	1	1	1	1	10	1011	15	11	34	57.727184	大
5	1	1	1	1	11	1021	30	16	10	6.507969	让
4	1	1	1	2	0	105	170	345	26	-1	
5	1	1	1	2	1	105	176	61	19	43.706512	Q=(a
5	1	1	1	2	2	176	178	92	16	41.821289	+azazas)
5	1	1	1	2	3	288	176	9	20	57.304401	虽
5	1	1	1	2	4	304	170	96	22	23.672562	Q3AQ=(
5	1	1	1	2	5	445	177	5	13	46.630844	)
4	1	1	1	3	0	168	224	289	19	-1	
5	1	1	1	3	1	168	229	6	14	94.144279	1
5	1	1	1	3	2	442	224	15	19	34.030300	(4
4	1	1	1	4	0	245	225	290	39	-1	
5	1	1	1	4	1	245	225	7	37	82.838715	|
5	1	1	1	4	2	442	225	93	39	22.835760	(‘|
4	1	1	1	5	0	111	261	423	49	-1	
5	1	1	1	5	1	111	261	31	12	68.426155	(Ad
5	1	1	1	5	2	197	262	9	14	96.609406	2
5	1	1	1	5	3	247	264	4	46	94.014328	|
5	1	1	1	5	4	395	263	29	13	44.201427	CB)
5	1	1	1	5	5	442	265	2	27	96.116722	|
5	1	1	1	5	6	481	262	5	14	91.945511	1
5	1	1	1	5	7	533	264	1	28	95.367355	|
4	1	1	1	6	0	160	293	374	21	-1	
5	1	1	1	6	1	160	293	9	20	68.596062	\
5	1	1	1	6	2	229	293	17	20	73.445724	1,
5	1	1	1	6	3	442	294	8	20	92.508812	\
5	1	1	1	6	4	511	293	23	20	94.314697	2)
4	1	1	1	7	0	159	337	301	54	-1	
5	1	1	1	7	1	159	337	17	39	75.738655	(2
5	1	1	1	7	2	442	337	18	54	60.289520	(?
