level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	400	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	18.861094	Kuang:
5	1	1	1	1	2	114	30	47	10	0.000000	aeted
5	1	1	1	1	3	482	30	110	10	0.000000	sanboseata
5	1	1	1	1	4	913	30	59	10	26.794777	Lamang:
5	1	1	1	1	5	987	30	50	10	0.000000	meked
4	1	1	1	2	0	96	159	885	27	-1	
5	1	1	1	2	1	96	159	885	27	43.244823	kr
5	1	1	1	2	2	530	155	57	43	0.000000	和
5	1	1	1	2	3	745	155	52	43	51.702980	PP
5	1	1	1	2	4	960	155	25	43	70.263161	|
4	1	1	1	3	0	95	188	886	27	-1	
5	1	1	1	3	1	95	188	886	27	28.474483	Pei
5	1	1	1	3	2	953	171	32	55	69.660675	|
4	1	1	1	4	0	96	245	885	27	-1	
5	1	1	1	4	1	96	245	885	27	48.490532	rp
5	1	1	1	4	2	524	241	103	43	48.490532	hh
5	1	1	1	4	3	736	241	63	43	43.051376	PP
5	1	1	1	4	4	962	241	23	43	62.965466	|
4	1	1	1	5	0	95	274	886	27	-1	
5	1	1	1	5	1	91	270	70	43	42.399097	PP
5	1	1	1	5	2	300	270	63	43	61.142639	le
5	1	1	1	5	3	526	270	81	43	49.671669	ln
5	1	1	1	5	4	749	270	55	43	62.780178	ln
5	1	1	1	5	5	945	274	36	27	59.264206	|
4	1	1	1	6	0	96	333	885	27	-1	
5	1	1	1	6	1	92	329	89	43	52.367271	pr
5	1	1	1	6	2	261	329	57	43	36.450653	lo
5	1	1	1	6	3	530	329	135	43	15.201492	PP
5	1	1	1	6	4	790	333	13	27	55.843224	1
5	1	1	1	6	5	962	333	19	27	68.107437	|
4	1	1	1	7	0	95	362	886	26	-1	
5	1	1	1	7	1	91	358	80	41	40.375916	PP
5	1	1	1	7	2	260	358	93	41	67.704536	lp
5	1	1	1	7	3	434	358	67	41	57.860825	le
5	1	1	1	7	4	613	358	55	41	70.415543	lo
5	1	1	1	7	5	793	358	57	41	57.232346	ln
5	1	1	1	7	6	964	362	17	26	61.208328	|
4	1	1	1	8	0	102	408	185	22	-1	
5	1	1	1	8	1	102	408	21	15	91.957901	求
5	1	1	1	8	2	129	398	8	36	61.351677	:
5	1	1	1	8	3	139	409	27	13	53.505802	(TD)
5	1	1	1	8	4	182	408	39	21	75.205650	P(X
5	1	1	1	8	5	232	408	37	15	92.750763	=2Y
5	1	1	1	8	6	278	410	9	20	14.198084	小
3	1	1	2	0	0	111	464	228	22	-1	
4	1	1	2	1	0	111	464	228	22	-1	
5	1	1	2	1	1	111	465	26	13	90.665161	(2)
5	1	1	2	1	2	152	464	57	21	89.726921	cov(X
5	1	1	2	1	3	219	464	47	17	72.502052	-Y,Y
5	1	1	2	1	4	275	464	19	22	50.151348	5
5	1	1	2	1	5	306	464	33	20	57.098938	Py.
3	1	1	3	0	0	95	509	886	307	-1	
4	1	1	3	1	0	109	509	64	15	-1	
5	1	1	3	1	1	109	509	51	15	80.608948	【解析
5	1	1	3	1	2	155	499	7	35	33.606071	】
5	1	1	3	1	3	171	516	2	7	39.586903	:
4	1	1	3	2	0	95	532	886	27	-1	
5	1	1	3	2	1	91	528	205	43	33.109795	FF
5	1	1	3	2	2	515	528	103	43	64.108810	Th
5	1	1	3	2	3	744	528	65	43	59.427620	PP
5	1	1	3	2	4	959	532	22	27	68.161415	|
4	1	1	3	3	0	96	561	885	27	-1	
5	1	1	3	3	1	92	557	76	43	47.701054	FF
5	1	1	3	3	2	296	557	97	43	21.629082	lp
5	1	1	3	3	3	521	557	66	43	40.187614	ln
5	1	1	3	3	4	747	557	66	43	63.708687	le
5	1	1	3	3	5	962	561	19	27	66.452621	|
4	1	1	3	4	0	95	619	886	27	-1	
5	1	1	3	4	1	95	619	886	27	0.000000	hl
5	1	1	3	4	2	523	615	66	43	46.033760	Th
5	1	1	3	4	3	746	615	58	43	26.276775	PP
5	1	1	3	4	4	950	615	34	43	71.206398	|
4	1	1	3	5	0	95	647	886	27	-1	
5	1	1	3	5	1	91	643	77	42	34.033234	PF
5	1	1	3	5	2	95	647	886	27	47.510597	ww
5	1	1	3	5	3	962	643	22	42	59.464378	|
4	1	1	3	6	0	95	706	886	28	-1	
5	1	1	3	6	1	91	702	105	44	33.217010	pr
5	1	1	3	6	2	258	702	56	44	0.000000	lp
5	1	1	3	6	3	432	702	72	44	32.782917	Th
5	1	1	3	6	4	608	702	64	44	0.000000	PP
