level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	1462	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	47.096992	Trans:
5	1	1	1	1	2	112	30	49	10	25.232935	meee
5	1	1	1	1	3	482	30	110	10	0.000000	sanboseata
5	1	1	1	1	4	913	30	59	10	26.794777	Lamang:
5	1	1	1	1	5	987	30	50	10	0.000000	meked
4	1	1	1	2	0	377	168	4	8	-1	
5	1	1	1	2	1	377	168	4	8	82.749962	1
4	1	1	1	3	0	211	181	204	41	-1	
5	1	1	1	3	1	211	193	40	29	90.567924	=lim
5	1	1	1	3	2	264	189	40	29	32.836121	(etx
5	1	1	1	3	3	311	183	20	30	57.601387	(1
5	1	1	1	3	4	337	195	17	24	15.760107	y’
5	1	1	1	3	5	363	181	24	33	0.000000	-
5	1	1	1	3	6	395	200	20	15	96.949158	dx
4	1	1	1	4	0	228	215	160	25	-1	
5	1	1	1	4	1	228	217	44	12	42.582520	ee
5	1	1	1	4	2	311	215	20	20	72.810036	\2
5	1	1	1	4	3	361	215	27	25	82.521461	Ag
4	1	1	1	5	0	270	253	120	15	-1	
5	1	1	1	5	1	270	256	3	8	86.934746	1
5	1	1	1	5	2	383	253	7	15	46.219444	)
4	1	1	1	6	0	211	253	201	54	-1	
5	1	1	1	6	1	211	268	40	15	91.402206	=lim
5	1	1	1	6	2	264	265	40	20	9.885254	[ex
5	1	1	1	6	3	311	253	33	29	18.203831	全
5	1	1	1	6	4	351	254	19	53	14.685831	~5
5	1	1	1	6	5	386	258	26	45	11.931772	ox
4	1	1	1	7	0	228	284	148	19	-1	
5	1	1	1	7	1	228	286	24	12	82.145302	x
5	1	1	1	7	2	262	284	10	8	46.324024	0
5	1	1	1	7	3	311	284	8	19	51.632263	人
5	1	1	1	7	4	321	285	21	15	57.448357	2x
5	1	1	1	7	5	366	285	10	15	95.506622	2
4	1	1	1	8	0	229	317	183	17	-1	
5	1	1	1	8	1	229	317	87	17	12.518234	下，
5	1	1	1	8	2	371	319	41	15	28.639269	4x2
4	1	1	1	9	0	211	330	235	32	-1	
5	1	1	1	9	1	211	330	57	32	0.000000	“sim
5	1	1	1	9	2	276	330	36	25	0.000000	(te
5	1	1	1	9	3	320	330	35	15	91.861542	dx
5	1	1	1	9	4	349	326	17	33	46.787491	一
5	1	1	1	9	5	363	330	83	25	50.686436	hexdx)
4	1	1	1	10	0	229	375	223	17	-1	
5	1	1	1	10	1	229	375	21	17	22.944479	A
5	1	1	1	10	2	348	377	34	14	26.006027	ee
5	1	1	1	10	3	447	385	5	6	25.283823	oe
4	1	1	1	11	0	211	387	286	35	-1	
5	1	1	1	11	1	211	396	28	26	94.412369	=
5	1	1	1	11	2	244	390	25	28	41.515373	好
5	1	1	1	11	3	276	387	71	19	69.663322	(e-1-e
5	1	1	1	11	4	356	394	9	11	85.489357	x
5	1	1	1	11	5	394	387	103	27	12.948303	+2hexdx)
4	1	1	1	12	0	229	434	162	28	-1	
5	1	1	1	12	1	229	434	21	28	27.603039	im
5	1	1	1	12	2	296	447	37	15	8.126202	(-1+2
5	1	1	1	12	3	365	444	26	18	8.126202	xder
4	1	1	1	13	0	211	446	194	33	-1	
5	1	1	1	13	1	211	447	85	32	41.545036	人
5	1	1	1	13	2	339	446	66	25	37.970795	de
4	1	1	1	14	0	229	492	211	24	-1	
5	1	1	1	14	1	229	492	6	15	96.703773	1
5	1	1	1	14	2	309	506	11	10	0.000000	ee
5	1	1	1	14	3	413	493	27	15	24.867449	lat
4	1	1	1	15	0	211	504	271	33	-1	
5	1	1	1	15	1	211	504	91	33	9.831696	同人
5	1	1	1	15	2	323	505	31	19	92.458664	2(e
5	1	1	1	15	3	363	509	20	20	0.000000	x,
5	1	1	1	15	4	392	514	10	2	0.000000	-
5	1	1	1	15	5	410	508	24	22	28.291082	Te
5	1	1	1	15	6	442	506	19	14	94.472519	dx
5	1	1	1	15	7	470	505	12	20	79.344856	))
4	1	1	1	16	0	212	550	262	34	-1	
5	1	1	1	16	1	212	550	55	29	43.952545	-Tim
5	1	1	1	16	2	276	564	148	20	72.937729	(-1+2(e-(e-1)
5	1	1	1	16	3	446	550	28	23	33.980835	ial
4	1	1	1	17	0	228	567	246	29	-1	
5	1	1	1	17	1	228	581	41	14	58.450451	20
5	1	1	1	17	2	430	567	14	18	93.133766	)
5	1	1	1	17	3	442	563	17	43	57.918671	六
5	1	1	1	17	4	465	581	9	15	68.889030	2
4	1	1	1	18	0	111	612	853	15	-1	
