level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	1462	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	8.120508	Taian:
5	1	1	1	1	2	115	30	46	10	0.000000	mead
5	1	1	1	1	3	482	31	9	8	70.405579	人
5	1	1	1	1	4	495	30	7	8	19.596653	全
5	1	1	1	1	5	505	30	9	10	39.597710	和
5	1	1	1	1	6	516	30	8	10	13.746300	于
5	1	1	1	1	7	529	30	17	10	49.686161	分
5	1	1	1	1	8	550	30	9	10	21.522312	各
5	1	1	1	1	9	561	31	9	9	55.316643	天
5	1	1	1	1	10	573	30	19	10	10.307751	并
5	1	1	1	1	11	913	30	27	10	22.712259	[位
5	1	1	1	1	12	945	30	24	10	39.218174	公信
5	1	1	1	1	13	968	15	9	34	48.818439	号
5	1	1	1	1	14	977	15	5	34	68.824928	:
5	1	1	1	1	15	989	31	7	8	47.162514	二
5	1	1	1	1	16	998	30	39	10	56.747059	地
5	1	1	1	1	17	1011	15	11	34	57.727184	大
5	1	1	1	1	18	1021	30	16	10	6.507969	让
4	1	1	1	2	0	151	168	83	18	-1	
5	1	1	1	2	1	151	168	16	18	35.498688	\1
5	1	1	1	2	2	197	171	37	15	89.302605	01
4	1	1	1	3	0	161	204	255	14	-1	
5	1	1	1	3	1	161	204	9	14	95.940384	0
5	1	1	1	3	2	197	204	6	14	69.554092	1
5	1	1	1	3	3	229	204	124	14	0.000000	1;/=at1=0>5
5	1	1	1	3	4	366	204	50	14	25.654440	a=!
4	1	1	1	4	0	151	237	86	19	-1	
5	1	1	1	4	1	151	237	86	19	55.451897	10a
4	1	1	1	5	0	362	277	138	39	-1	
5	1	1	1	5	1	362	277	49	39	62.816757	f°
5	1	1	1	5	2	433	277	67	39	23.902573	21%)
4	1	1	1	6	0	146	303	337	46	-1	
5	1	1	1	6	1	146	303	168	46	0.000000	faXTATAK=(6,%
5	1	1	1	6	2	322	317	20	15	0.000000	1%
5	1	1	1	6	3	360	313	21	32	25.726023	0
5	1	1	1	6	4	403	313	9	14	88.785690	2
5	1	1	1	6	5	433	313	50	19	60.314980	21%
4	1	1	1	7	0	110	332	18	13	-1	
5	1	1	1	7	1	110	332	18	13	96.450768	2)
4	1	1	1	8	0	362	318	137	48	-1	
5	1	1	1	8	1	362	346	19	20	89.302322	\2
5	1	1	1	8	2	403	346	9	14	92.987289	2
5	1	1	1	8	3	432	318	67	48	32.494965	ake!
4	1	1	1	9	0	145	373	292	32	-1	
5	1	1	1	9	1	145	373	47	32	17.372837	=2x,"
5	1	1	1	9	2	202	377	46	24	42.378586	+2x,"
5	1	1	1	9	3	258	377	46	24	75.742928	+4x,°
5	1	1	1	9	4	312	384	56	17	0.000000	FAX
5	1	1	1	9	5	355	380	16	25	0.000000	X.
5	1	1	1	9	6	383	384	15	14	96.522514	十
5	1	1	1	9	7	397	384	40	17	27.154732	4XzXa
4	1	1	1	10	0	227	427	73	14	-1	
5	1	1	1	10	1	227	427	10	14	93.886581	2
5	1	1	1	10	2	259	427	9	14	94.379173	0
5	1	1	1	10	3	290	427	10	14	96.703857	2
4	1	1	1	11	0	122	458	178	15	-1	
5	1	1	1	11	1	122	458	48	15	45.819099	wae
5	1	1	1	11	2	182	458	55	14	88.136757	B=|0
5	1	1	1	11	3	259	458	9	14	96.179787	2
5	1	1	1	11	4	290	458	10	14	96.179787	2
4	1	1	1	12	0	221	491	87	20	-1	
5	1	1	1	12	1	221	491	16	20	0.000000	2
5	1	1	1	12	2	259	491	9	14	87.849869	2
5	1	1	1	12	3	290	491	18	20	78.855652	4,
4	1	1	1	13	0	210	536	157	17	-1	
5	1	1	1	13	1	210	536	10	14	62.950279	和
5	1	1	1	13	2	227	539	23	14	91.491890	-2
5	1	1	1	13	3	288	539	9	14	85.340233	0
5	1	1	1	13	4	347	539	20	14	43.579414	一
4	1	1	1	14	0	114	568	457	22	-1	
5	1	1	1	14	1	114	568	28	20	10.275078	IXE
5	1	1	1	14	2	152	570	49	14	45.268585	-Bl=|
5	1	1	1	14	3	230	570	3	14	84.314636	0
5	1	1	1	14	4	274	569	40	15	44.330849	2-2
5	1	1	1	14	5	347	569	224	21	15.971985	-2)=A(2-2(2-6)=0
4	1	1	1	15	0	222	601	155	16	-1	
5	1	1	1	15	1	222	603	18	14	88.816795	2
5	1	1	1	15	2	284	603	19	14	90.385277	2
5	1	1	1	15	3	337	601	40	16	79.385857	i-4
4	1	1	1	16	0	111	653	385	20	-1	
5	1	1	1	16	1	111	654	32	15	91.628944	解
