level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	593	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	47.096992	Trans:
5	1	1	1	1	2	112	30	49	10	25.232935	meee
5	1	1	1	1	3	482	30	110	10	0.000000	SERSPERRIR
5	1	1	1	1	4	913	30	33	10	22.712259	[位
5	1	1	1	1	5	946	30	23	10	39.218174	公信
5	1	1	1	1	6	968	15	9	34	48.818439	号
5	1	1	1	1	7	977	15	5	34	68.824928	:
5	1	1	1	1	8	989	31	7	8	47.162514	二
5	1	1	1	1	9	998	30	39	10	56.747059	地
5	1	1	1	1	10	1011	15	11	34	57.727184	大
5	1	1	1	1	11	1021	30	16	10	6.507969	让
4	1	1	1	2	0	574	75	71	14	-1	
5	1	1	1	2	1	574	75	5	14	81.470505	1
5	1	1	1	2	2	604	75	9	14	81.470505	0
5	1	1	1	2	3	635	75	10	14	94.982079	0
4	1	1	1	3	0	81	104	615	19	-1	
5	1	1	1	3	1	81	105	71	16	37.047493	ABH,
5	1	1	1	3	2	166	105	48	16	19.187899	HT
5	1	1	1	3	3	237	104	49	17	28.287430	AMS
5	1	1	1	3	4	300	107	5	12	93.289268	2
5	1	1	1	3	5	317	105	15	16	93.231331	列
5	1	1	1	3	6	332	108	10	12	95.990883	加
5	1	1	1	3	7	345	106	31	14	95.522484	到
5	1	1	1	3	8	367	95	19	35	96.765656	第
5	1	1	1	3	9	385	95	14	35	77.247948	“1
5	1	1	1	3	10	407	105	65	16	13.501701	IGE
5	1	1	1	3	11	488	104	20	15	61.349289	B,
5	1	1	1	3	12	522	106	14	14	48.063919	ik
5	1	1	1	3	13	547	106	32	14	89.851425	Al1
5	1	1	1	3	14	605	106	6	14	94.046432	1
5	1	1	1	3	15	635	106	9	14	84.082695	0
5	1	1	1	3	16	662	106	34	17	68.093796	|=B,
4	1	1	1	4	0	564	139	88	21	-1	
5	1	1	1	4	1	564	139	19	21	69.000267	(0
5	1	1	1	4	2	604	139	9	14	88.417763	0
5	1	1	1	4	3	637	139	15	21	74.418045	1,
4	1	1	1	5	0	82	187	191	24	-1	
5	1	1	1	5	1	82	191	13	15	81.339409	即
5	1	1	1	5	2	105	192	26	19	96.320259	AR
5	1	1	1	5	3	141	187	132	24	92.600319	=B,
5	1	1	1	5	4	188	183	20	34	88.320686	故
5	1	1	1	5	5	207	187	66	24	9.273624	A=BR-
4	1	1	1	6	0	470	240	78	19	-1	
5	1	1	1	6	1	470	240	46	19	60.452202	(1.0
5	1	1	1	6	2	539	244	9	15	75.147202	0
4	1	1	1	7	0	82	260	530	48	-1	
5	1	1	1	7	1	82	274	12	15	87.719734	由
5	1	1	1	7	2	102	275	10	14	94.516113	于
5	1	1	1	7	3	117	274	29	15	61.079082	交换
5	1	1	1	7	4	162	275	6	14	61.079082	B
5	1	1	1	7	5	179	274	31	15	96.951584	的
5	1	1	1	7	6	202	264	14	35	84.995422	第
5	1	1	1	7	7	224	275	6	13	84.995422	2
5	1	1	1	7	8	246	274	14	15	92.838699	行
5	1	1	1	7	9	259	274	25	15	87.310989	和
5	1	1	1	7	10	274	264	17	35	81.530556	第
5	1	1	1	7	11	297	275	7	13	81.530556	3
5	1	1	1	7	12	316	274	10	15	90.885201	行
5	1	1	1	7	13	333	274	21	15	96.727554	得
5	1	1	1	7	14	361	274	26	15	96.037323	单位
5	1	1	1	7	15	386	264	30	35	79.162300	矩阵
5	1	1	1	7	16	417	264	16	35	90.329338	，
5	1	1	1	7	17	429	274	15	15	82.721603	故
5	1	1	1	7	18	470	260	16	48	60.745941	|
5	1	1	1	7	19	507	276	9	14	96.312294	0
5	1	1	1	7	20	540	276	72	14	71.353752	1B=E
4	1	1	1	8	0	470	309	92	20	-1	
5	1	1	1	8	1	470	309	16	20	46.451202	(0
5	1	1	1	8	2	508	309	6	13	74.879807	1
5	1	1	1	8	3	539	309	23	20	74.879807	0)
4	1	1	1	9	0	82	355	526	25	-1	
5	1	1	1	9	1	82	360	13	15	91.147011	即
5	1	1	1	9	2	105	360	29	19	92.195107	RB
5	1	1	1	9	3	143	360	53	18	75.334648	=E,%
5	1	1	1	9	4	205	360	11	15	80.207367	B
5	1	1	1	9	5	225	355	42	24	64.074989	=P,
5	1	1	1	9	6	275	360	34	20	93.075554	=P,
5	1	1	1	9	7	317	362	37	14	76.642471	因此
5	1	1	1	9	8	376	356	91	23	0.000000	，A=PPP
5	1	1	1	9	9	476	356	132	23	37.292984	=P,R~,
