level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	304	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	47.096992	Trans:
5	1	1	1	1	2	112	30	49	10	25.232935	meee
5	1	1	1	1	3	482	30	110	10	0.000000	sanboseata
5	1	1	1	1	4	913	30	33	10	22.712259	[位
5	1	1	1	1	5	946	30	23	10	39.218174	公信
5	1	1	1	1	6	968	15	9	34	48.818439	号
5	1	1	1	1	7	977	15	5	34	68.824928	:
5	1	1	1	1	8	989	31	7	8	47.162514	二
5	1	1	1	1	9	998	30	39	10	56.747059	地
5	1	1	1	1	10	1011	15	11	34	57.727184	大
5	1	1	1	1	11	1021	30	16	10	6.507969	让
4	1	1	1	2	0	81	75	386	24	-1	
5	1	1	1	2	1	81	78	25	15	66.507690	望
5	1	1	1	2	2	107	79	16	15	96.413063	的
5	1	1	1	2	3	132	78	11	16	90.954018	性
5	1	1	1	2	4	148	79	10	15	0.000000	盾
5	1	1	1	2	5	161	80	2	2	60.660805	有
5	1	1	1	2	6	180	75	66	24	43.749866	E(XY2?)
5	1	1	1	2	7	256	80	41	15	91.393089	=EX
5	1	1	1	2	8	310	75	45	20	32.513359	EY’,
5	1	1	1	2	9	370	82	14	13	86.745117	又
5	1	1	1	2	10	393	80	24	15	96.079224	EX
5	1	1	1	2	11	429	79	38	16	75.667671	=H,
4	1	1	1	3	0	86	131	497	24	-1	
5	1	1	1	3	1	86	131	32	20	75.439873	EY’
5	1	1	1	3	2	131	143	8	5	19.161234	=
5	1	1	1	3	3	145	136	27	15	19.161234	DY
5	1	1	1	3	4	180	131	64	24	88.098602	+(EY)?
5	1	1	1	3	5	254	131	36	18	45.227695	=o?
5	1	1	1	3	6	298	131	33	18	41.889835	+H2
5	1	1	1	3	7	341	147	1	4	62.761707	，
5	1	1	1	3	8	354	137	32	15	92.077789	所
5	1	1	1	3	9	381	127	19	33	95.686058	以
5	1	1	1	3	10	400	131	64	24	45.834259	ECXY?)
5	1	1	1	3	11	474	131	58	24	46.265812	=H(H?
5	1	1	1	3	12	540	131	43	24	49.034264	+07)
4	1	1	1	4	0	83	177	856	21	-1	
5	1	1	1	4	1	83	179	20	12	93.235550	三
5	1	1	1	4	2	103	167	18	35	92.622894	、
5	1	1	1	4	3	120	177	9	16	88.219734	解
5	1	1	1	4	4	138	177	22	16	92.845383	答
5	1	1	1	4	5	166	185	2	6	25.034723	愿
5	1	1	1	4	6	195	179	46	12	41.504356	:15~23
5	1	1	1	4	7	251	177	37	15	93.019325	小
5	1	1	1	4	8	278	167	16	35	13.115940	题
5	1	1	1	4	9	301	178	6	14	91.642624	，
5	1	1	1	4	10	310	177	6	15	65.944176	共
5	1	1	1	4	11	332	179	18	12	54.246971	“94
5	1	1	1	4	12	361	177	11	15	95.471802	分
5	1	1	1	4	13	376	177	18	15	64.370956	.请
5	1	1	1	4	14	402	177	19	16	96.549904	将
5	1	1	1	4	15	420	167	25	35	91.531174	解答
5	1	1	1	4	16	453	177	16	15	92.333778	写
5	1	1	1	4	17	472	179	7	12	96.876587	在
5	1	1	1	4	18	485	177	39	21	96.206497	答题
5	1	1	1	4	19	523	167	14	35	79.756775	纸
5	1	1	1	4	20	542	177	14	20	79.756775	，
5	1	1	1	4	21	559	177	76	15	90.699539	指
5	1	1	1	4	22	575	167	19	35	93.202591	定
5	1	1	1	4	23	593	167	18	35	96.862656	的
5	1	1	1	4	24	610	177	21	15	93.066406	位
5	1	1	1	4	25	630	167	16	35	93.110611	置
5	1	1	1	4	26	643	177	9	15	92.806320	上
5	1	1	1	4	27	667	177	161	16	38.869709	.解答
5	1	1	1	4	28	713	167	16	35	72.117500	应
5	1	1	1	4	29	728	167	16	35	93.191574	写
5	1	1	1	4	30	744	167	18	35	96.832550	出
5	1	1	1	4	31	761	167	36	35	95.566826	文字
5	1	1	1	4	32	796	167	18	35	93.243484	说
5	1	1	1	4	33	814	167	14	35	90.534607	明
5	1	1	1	4	34	827	167	16	35	91.217087	、
5	1	1	1	4	35	842	178	13	14	92.835861	证
5	1	1	1	4	36	862	178	9	14	85.848557	明
5	1	1	1	4	37	877	177	20	15	92.707787	过
5	1	1	1	4	38	897	178	9	14	92.885292	程
5	1	1	1	4	39	914	177	9	15	94.737305	或
5	1	1	1	4	40	929	177	10	15	89.945351	演
4	1	1	1	5	0	81	211	61	15	-1	
5	1	1	1	5	1	81	211	49	15	39.142895	SMR
5	1	1	1	5	2	139	222	3	3	50.611492	.
