level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1075	1521	-1	
2	1	1	0	0	0	37	30	1000	1462	-1	
3	1	1	1	0	0	37	30	1000	1462	-1	
4	1	1	1	1	0	37	30	1000	10	-1	
5	1	1	1	1	1	37	30	66	10	0.000000	Laan:
5	1	1	1	1	2	112	30	49	10	0.000000	ake
5	1	1	1	1	3	482	30	110	10	0.000000	BEAGOEORER
5	1	1	1	1	4	913	30	59	10	0.000000	Deesass
5	1	1	1	1	5	991	31	9	8	35.986717	研
5	1	1	1	1	6	1001	31	7	8	27.116041	地
5	1	1	1	1	7	1011	30	7	9	51.518082	大
5	1	1	1	1	8	1021	30	16	10	34.731766	机
4	1	1	1	2	0	186	64	580	31	-1	
5	1	1	1	2	1	186	77	11	8	62.095032	2
5	1	1	1	2	2	309	64	16	31	46.411385	oo
5	1	1	1	2	3	544	64	16	31	33.397480	Ea
5	1	1	1	2	4	755	77	11	8	35.563698	Fa
4	1	1	1	3	0	121	91	708	20	-1	
5	1	1	1	3	1	121	94	22	17	86.675880	(C)
5	1	1	1	3	2	156	92	35	17	67.259903	HE
5	1	1	1	3	3	203	97	16	13	68.141113	uy
5	1	1	1	3	4	227	91	37	15	57.272751	WA
5	1	1	1	3	5	278	91	14	15	46.177731	HE
5	1	1	1	3	6	305	92	13	16	37.032478	TS
5	1	1	1	3	7	332	93	42	18	5.920048	(Ways
5	1	1	1	3	8	384	91	82	20	44.113369	-uan
5	1	1	1	3	9	423	81	9	34	81.006287	)
5	1	1	1	3	10	437	91	29	20	59.421608	WK
5	1	1	1	3	11	483	92	22	16	89.306015	(D)
5	1	1	1	3	12	518	91	35	17	71.401527	HE
5	1	1	1	3	13	569	93	24	18	48.167385	(ua
5	1	1	1	3	14	605	101	21	10	35.651020	;一
5	1	1	1	3	15	633	93	29	18	80.661674	un)
5	1	1	1	3	16	670	91	37	15	58.631893	MG
5	1	1	1	3	17	747	92	43	18	50.212242	Su,
5	1	1	1	3	18	798	91	31	15	57.057209	收敛
4	1	1	1	4	0	179	116	589	11	-1	
5	1	1	1	4	1	179	117	20	9	73.593376	na
5	1	1	1	4	2	307	117	20	9	80.277870	na
5	1	1	1	4	3	542	116	20	11	59.535480	na
5	1	1	1	4	4	750	117	18	10	46.228630	nd
4	1	1	1	5	0	88	148	90	18	-1	
5	1	1	1	5	1	88	148	51	15	91.498619	【答案
5	1	1	1	5	2	138	144	9	28	86.900879	】
5	1	1	1	5	3	157	149	21	17	86.770172	(A)
4	1	1	1	6	0	88	177	249	16	-1	
5	1	1	1	6	1	88	177	51	16	62.891598	【详解
5	1	1	1	6	2	138	173	13	28	79.401779	】
5	1	1	1	6	3	150	177	13	16	91.127647	本
5	1	1	1	6	4	171	178	15	14	90.425476	题
5	1	1	1	6	5	189	177	8	15	92.544334	涉
5	1	1	1	6	6	204	178	17	14	96.970390	及
5	1	1	1	6	7	225	178	5	14	96.571167	到
5	1	1	1	6	8	238	177	9	15	96.895142	的
5	1	1	1	6	9	255	178	34	14	96.972252	主要
5	1	1	1	6	10	292	178	30	14	96.150627	知识
5	1	1	1	6	11	323	177	8	15	92.738190	点
5	1	1	1	6	12	335	185	2	6	62.005894	:
4	1	1	1	7	0	303	217	12	8	-1	
5	1	1	1	7	1	303	217	12	8	69.607536	20
4	1	1	1	8	0	81	231	817	21	-1	
5	1	1	1	8	1	81	232	14	14	93.109970	级
5	1	1	1	8	2	104	231	17	15	93.103867	数
5	1	1	1	8	3	124	234	5	12	96.877762	的
5	1	1	1	8	4	131	231	65	16	96.523079	基本
5	1	1	1	8	5	169	227	23	29	93.042030	性
5	1	1	1	8	6	191	227	17	29	45.152840	质
5	1	1	1	8	7	212	227	10	29	19.650841	。
5	1	1	1	8	8	235	231	48	15	42.234997	FB
5	1	1	1	8	9	294	233	43	19	58.835152	Du,
5	1	1	1	8	10	345	231	37	16	53.473824	收敛
5	1	1	1	8	11	386	227	12	29	91.558113	，
5	1	1	1	8	12	397	231	12	15	93.255890	则
5	1	1	1	8	13	417	232	10	14	96.541740	不
5	1	1	1	8	14	435	231	36	15	96.648560	改变
5	1	1	1	8	15	479	231	8	16	96.595558	其
5	1	1	1	8	16	497	231	6	15	96.406532	项
5	1	1	1	8	17	506	234	5	12	96.982224	的
5	1	1	1	8	18	519	231	9	16	93.087006	次
5	1	1	1	8	19	535	231	17	15	93.130928	序
5	1	1	1	8	20	552	231	35	15	96.952522	任意
5	1	1	1	8	21	589	234	6	12	96.847275	加
5	1	1	1	8	22	602	231	33	15	93.295456	括号
5	1	1	1	8	23	638	227	14	29	91.828926	，
5	1	1	1	8	24	651	231	12	16	93.256775	并
